policy_id,policy_name,department,owner,approval_status,last_review_date,expiry_date,document_version,risk_category,audit_status,finding_count,critical_findings,compliance_score
P001,Data Retention Policy,IT,Emily Garcia,Approved,2024-04-24,2025-12-08,v5.1,Legal & Regulatory,Compliant,2,0,98
P002,Vendor Security Policy,Operations,John Brown,Approved,2024-12-17,2025-07-06,v5.6,Financial Controls,Compliant,0,0,90
P003,Regulatory Compliance Policy,Operations,Emily Smith,Pending,2025-12-06,2027-09-25,v2.5,Cybersecurity,At Risk,3,0,76
P004,Procurement Policy,IT,Emma White,Pending,2024-09-07,2026-11-05,v4.1,Legal & Regulatory,Non-Compliant,10,1,57
P005,Litigation Response Policy,HR,James Allen,Approved,2026-03-08,2025-08-14,v3.1,Financial Controls,Compliant,0,0,97
P006,Procurement Policy,IT,Emily Harris,Approved,2025-05-10,2026-04-11,v3.1,Legal & Regulatory,At Risk,3,0,78
P007,Records Retention Policy,Finance,Nancy Martin,Approved,2025-08-15,2028-06-26,v2.0,HR Compliance,Non-Compliant,8,1,69
P008,Employee Onboarding Policy,Operations,Michael Patel,Rejected,2024-10-15,2027-02-16,v4.2,HR Compliance,Non-Compliant,10,4,68
P009,Accounts Payable Review,Finance,Matthew Hall,Approved,2024-09-27,2027-10-07,v3.3,Financial Controls,Compliant,1,0,92
P010,Supplier Assessment Policy,Legal,Michael Lee,Pending,2025-12-13,2026-04-05,v5.1,Operations,Compliant,1,0,98
P011,Litigation Response Policy,Operations,Daniel Walker,Approved,2024-10-29,2025-06-05,v1.8,HR Compliance,Compliant,2,0,98
P012,Cloud Usage Policy,HR,Chris Moore,Approved,2026-05-15,2026-11-03,v5.1,Data Governance,Compliant,0,0,87
P013,Contract Review Policy,HR,Andrew Patel,Approved,2024-03-29,2026-04-08,v1.9,HR Compliance,Compliant,2,0,89
P014,Data Retention Policy,Operations,Emma White,Pending,2024-01-18,2027-02-01,v5.1,Cybersecurity,At Risk,1,0,70
P015,Access Control Policy,Operations,Matthew Chen,Approved,2025-01-17,2028-06-11,v2.8,Data Governance,Non-Compliant,7,4,65
P016,Workplace Conduct Policy,Finance,Robert White,Approved,2024-12-05,2027-11-23,v1.5,Cybersecurity,Non-Compliant,6,2,62
P017,Records Retention Policy,Legal,Nancy Allen,Approved,2026-03-07,2025-09-10,v3.1,Legal & Regulatory,Non-Compliant,4,1,69
P018,Employee Onboarding Policy,Finance,Ethan Patel,Approved,2024-05-08,2028-07-25,v2.7,Operations,Compliant,1,0,91
P019,Cloud Usage Policy,Finance,Emma Moore,Approved,2025-03-24,2027-12-25,v4.5,Cybersecurity,Non-Compliant,4,1,58
P020,Financial Reporting Controls,Finance,Kevin Hall,Approved,2025-03-12,2026-05-23,v1.7,Legal & Regulatory,At Risk,4,0,72
P021,Vendor Security Policy,IT,Matthew Smith,Rejected,2024-04-07,2026-09-09,v4.3,Operations,Non-Compliant,9,4,65
P022,Expense Reimbursement Policy,IT,Robert Smith,Rejected,2025-08-20,2027-11-30,v2.3,HR Compliance,At Risk,4,1,73
P023,Vendor Security Policy,Finance,Victoria Hall,Approved,2025-07-01,2025-09-07,v1.8,Cybersecurity,Non-Compliant,10,2,58
P024,Access Control Policy,Finance,Andrew Brown,Approved,2025-09-20,2027-08-17,v5.1,Operations,Non-Compliant,6,1,62
P025,Regulatory Compliance Policy,Legal,Grace Davis,Rejected,2025-10-21,2027-02-15,v2.4,Operations,At Risk,3,1,70
P026,Access Control Policy,HR,John Harris,Approved,2024-10-19,2025-12-03,v2.5,Cybersecurity,Non-Compliant,6,3,59
P027,Leave Management Policy,Finance,Chris Martin,Approved,2024-11-08,2027-01-22,v5.0,Data Governance,Compliant,2,0,94
P028,Workplace Conduct Policy,Legal,Emma Chen,Approved,2026-01-29,2028-06-19,v5.3,Data Governance,Non-Compliant,7,3,64
P029,Financial Reporting Controls,HR,Emily Walker,Approved,2024-01-03,2025-08-25,v1.0,HR Compliance,Non-Compliant,9,3,60
P030,Employee Onboarding Policy,Finance,Lisa Harris,Approved,2025-03-07,2028-07-04,v2.8,Cybersecurity,Non-Compliant,4,1,55
P031,Regulatory Compliance Policy,HR,Matthew Chen,Approved,2026-04-06,2027-02-03,v2.3,Data Governance,At Risk,1,1,78
P032,Leave Management Policy,IT,Matthew Moore,Rejected,2024-04-11,2026-03-25,v4.0,Financial Controls,At Risk,2,0,70
P033,Inventory Management Policy,HR,Nancy Johnson,Approved,2024-05-30,2025-12-20,v2.3,Operations,At Risk,1,1,79
P034,Workplace Conduct Policy,HR,Nancy Garcia,Approved,2025-11-02,2027-08-07,v3.5,Data Governance,At Risk,3,0,76
P035,Procurement Policy,Legal,Matthew Davis,Rejected,2026-01-20,2026-10-29,v1.9,Operations,Non-Compliant,7,1,66
P036,Remote Work Policy,HR,Olivia Young,Rejected,2026-01-20,2027-07-10,v3.0,Data Governance,Compliant,0,0,91
P037,Data Retention Policy,Operations,Grace Hall,Approved,2024-04-19,2026-06-20,v3.9,HR Compliance,At Risk,4,0,78
P038,Workplace Conduct Policy,IT,Grace Anderson,Approved,2025-06-18,2027-08-15,v5.2,Financial Controls,Compliant,1,0,99
P039,Procurement Policy,Operations,Lisa Young,Approved,2025-03-29,2028-06-08,v2.6,Legal & Regulatory,Non-Compliant,7,3,55
P040,Remote Work Policy,Legal,Daniel Harris,Approved,2025-10-12,2028-03-24,v2.1,HR Compliance,Compliant,2,0,85
P041,Litigation Response Policy,Legal,Sophia Brown,Pending,2024-04-09,2026-09-06,v2.3,Financial Controls,Compliant,1,0,98
P042,Vendor Security Policy,IT,Nancy Clark,Approved,2024-03-23,2025-10-09,v4.7,Operations,At Risk,4,0,84
P043,Payroll Controls,Finance,John Wilson,Pending,2025-10-06,2026-05-08,v4.0,Legal & Regulatory,Compliant,2,0,99
P044,Cloud Usage Policy,Finance,Daniel Chen,Pending,2024-07-04,2028-05-04,v3.7,Legal & Regulatory,Compliant,2,0,90
P045,Inventory Management Policy,Legal,Matthew Harris,Pending,2024-04-17,2028-01-10,v3.8,Operations,At Risk,3,0,83
P046,Employee Onboarding Policy,Finance,Daniel Brown,Pending,2025-09-20,2026-11-20,v2.2,Financial Controls,At Risk,3,0,76
P047,Payroll Controls,Operations,Kevin Brown,Approved,2025-06-14,2028-05-28,v2.6,Operations,At Risk,4,0,84
